textDisplay,likeCount,remove_user,cleaning,tokenized_Content
We would like to thank BNI for this great opportunity to show that Anime can be beneficial for the corporate world 🙏<br><br>Can’t wait for the next one to be released 🔥,6098.0,We would like to thank BNI for this great opportunity to show that Anime can be beneficial for the corporate world 🙏<br><br>Can’t wait for the next one to be released 🔥,We would like to thank BNI for this great opportunity to show that Anime can be beneficial for the corporate world Can t wait for the next one to be released ,"['""We""', '""would""', '""like""', '""to""', '""thank""', '""BNI""', '""for""', '""this""', '""great""', '""opportunity""', '""to""', '""show""', '""that""', '""Anime""', '""can""', '""be""', '""beneficial""', '""for""', '""the""', '""corporate""', '""world""', '""🙏""', '""<""', '""br""', '"">""', '""<""', '""br""', '"">""', '""Can""', '""’""', '""t""', '""wait""', '""for""', '""the""', '""next""', '""one""', '""to""', '""be""', '""released""', '""🔥""']"
"why there is no credit at the end of video, they deserve it 😢",156.0,"why there is no credit at the end of video, they deserve it 😢",why there is no credit at the end of video they deserve it ,"['""why""', '""there""', '""is""', '""no""', '""credit""', '""at""', '""the""', '""end""', '""of""', '""video""', '"",""', '""they""', '""deserve""', '""it""', '""😢""']"
"​@@muhammadguntoro753not necessarily, it depends on what&#39;s written in the contract. Furthermore since it&#39;s a commissioned work instead fanart",412.0,"​muhammadguntoro753not necessarily, it depends on what&#39;s written in the contract. Furthermore since it&#39;s a commissioned work instead fanart", muhammadguntoro not necessarily it depends on whats written in the contract Furthermore since its a commissioned work instead fanart,"['""\u200b""', '""@""', '""@""', '""muhammadguntoro753not""', '""necessarily""', '"",""', '""it""', '""depends""', '""on""', '""what""', '""&""', '""#""', '""39""', '"";""', '""s""', '""written""', '""in""', '""the""', '""contract""', '"".""', '""Furthermore""', '""since""', '""it""', '""&""', '""#""', '""39""', '"";""', '""s""', '""a""', '""commissioned""', '""work""', '""instead""', '""fanart""']"
Rimsvek buat kalian 🫡,43.0,Rimsvek buat kalian 🫡,Rimsvek buat kalian ,"['""Rimsvek""', '""buat""', '""kalian""', '""\U0001fae1""']"
Mantaap weh,42.0,Mantaap weh,Mantaap weh,"['""Mantaap""', '""weh""']"
"​@@muhammadguntoro753 biasanya kalau udah iklan emang ada perjanjian kontrak buat gak ada credit yang ngebuat, tapi yang pasti kompensasi buat itu juga gak kalah gede duitnya",1.0,"​muhammadguntoro753 biasanya kalau udah iklan emang ada perjanjian kontrak buat gak ada credit yang ngebuat, tapi yang pasti kompensasi buat itu juga gak kalah gede duitnya", muhammadguntoro biasanya kalau udah iklan emang ada perjanjian kontrak buat gak ada credit yang ngebuat tapi yang pasti kompensasi buat itu juga gak kalah gede duitnya,"['""\u200b""', '""@""', '""@""', '""muhammadguntoro753""', '""biasanya""', '""kalau""', '""udah""', '""iklan""', '""emang""', '""ada""', '""perjanjian""', '""kontrak""', '""buat""', '""gak""', '""ada""', '""credit""', '""yang""', '""ngebuat""', '"",""', '""tapi""', '""yang""', '""pasti""', '""kompensasi""', '""buat""', '""itu""', '""juga""', '""gak""', '""kalah""', '""gede""', '""duitnya""']"
Akhirnya ketemu juga 😊😅,0.0,Akhirnya ketemu juga 😊😅,Akhirnya ketemu juga ,"['""Akhirnya""', '""ketemu""', '""juga""', '""😊😅""']"
bruh animeh😱,0.0,bruh animeh😱,bruh animeh ,"['""bruh""', '""animeh😱""']"
BANK NICHIJOU AHH COMENTS🗣️🗣️🔥🔥🔥,0.0,BANK NICHIJOU AHH COMENTS🗣️🗣️🔥🔥🔥,BANK NICHIJOU AHH COMENTS ,"['""BANK""', '""NICHIJOU""', '""AHH""', '""COMENTS🗣️🗣️🔥🔥🔥""']"
Baru pertamakali ini nonton iklan secara disengaja dan tanpa gwej skip💀☝🏻,0.0,Baru pertamakali ini nonton iklan secara disengaja dan tanpa gwej skip💀☝🏻,Baru pertamakali ini nonton iklan secara disengaja dan tanpa gwej skip ,"['""Baru""', '""pertamakali""', '""ini""', '""nonton""', '""iklan""', '""secara""', '""disengaja""', '""dan""', '""tanpa""', '""gwej""', '""skip💀☝🏻""']"
