publishedAt,authorDisplayName,textDisplay,likeCount
2024-11-10T02:07:51Z,@ploopyanimations,We would like to thank BNI for this great opportunity to show that Anime can be beneficial for the corporate world 🙏<br><br>Can’t wait for the next one to be released 🔥,6098
2024-11-10T03:15:40Z,@muhammadguntoro753,"why there is no credit at the end of video, they deserve it 😢",156
2024-11-10T03:23:12Z,@brezzendorf,"​@@muhammadguntoro753not necessarily, it depends on what&#39;s written in the contract. Furthermore since it&#39;s a commissioned work instead fanart",412
2024-11-10T03:32:43Z,@Regimeisme,Rimsvek buat kalian 🫡,43
2024-11-10T03:36:29Z,@kakkocho,Mantaap weh,42
2024-11-10T03:39:43Z,@Inad00,"​@@muhammadguntoro753 biasanya kalau udah iklan emang ada perjanjian kontrak buat gak ada credit yang ngebuat, tapi yang pasti kompensasi buat itu juga gak kalah gede duitnya",1
2024-12-12T18:08:17Z,@netachara_5,Akhirnya ketemu juga 😊😅,0
2024-12-12T13:03:34Z,@avocadoiann,bruh animeh😱,0
2024-12-12T12:10:31Z,@retinayunani1101,BANK NICHIJOU AHH COMENTS🗣️🗣️🔥🔥🔥,0
2024-12-11T17:32:50Z,@KatzuyaStore,Baru pertamakali ini nonton iklan secara disengaja dan tanpa gwej skip💀☝🏻,0
2024-12-11T12:26:05Z,@Ombro_clasH.6Kva,NGURUS PENUTUPAN REKENING ALMARHUM SUSAH.... <br>khususnya DIY kulonprogo. mentang² pegawai semua dipersulit<br>3x gagal terus... kurang ini kurang itu😡😡,0
2024-12-11T02:20:52Z,@AimGamers92,Min tambah lagi lah episode nya menyala anime lovers 🔥,0
2024-12-10T12:19:19Z,@unreliablecode,"Bank besar versi konvensional kena pajak bulanan, BNI Wondr pun kena pajak bulanan, mending BCA Blu atau BTPN Jenius gada pajak bulanan walaupun ada kartu Debit digital sama fisk, BNi Wondr iklannya keren tapi masih pajakin rakyat",0
2024-12-09T06:00:26Z,@kadonp4159,nichijou fr,0
2024-12-09T05:59:24Z,@kadonp4159,🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,0
2024-12-08T16:55:12Z,@rupocahyo8191,"Sumpah, kualitasnya cuy BNI memasakk🔥🔥🔥☠️",0
2024-12-07T23:59:59Z,@Phicoopia,Wkkwk kita butuh kakek seperti ini😂😂,0
2024-12-07T09:59:12Z,@Torasono,Absolute cinema✋😎✋🔥🔥🔥,0
2024-12-06T09:50:19Z,@Kuukyochwan,yo chat this is real?!,0
2024-12-05T21:54:05Z,@hooomaannn8911,BMKG : V-Tuber<br>BNI : Anime<br>Next apa dah?,0
2024-12-05T10:14:16Z,@Penonton_DariSetahun_Lalu,Begitu...,0
2024-12-05T08:47:14Z,@omiseomise4431,Bni x ottasan,0
2024-12-04T00:55:27Z,@IchaUser,Mon maaf padahal iklan kok seru sih???,2
2024-12-03T12:14:54Z,@berclipp,Animasinya jauh lebih bagus dari png lock😂,2
2024-12-03T07:33:54Z,@illya-,いや、いや、なんで日本語やねん。。,0
2024-12-03T05:04:57Z,@yohanesadipratama4764,Jadi keinget scene anime pesen kopi espresso solo ato dopio. 😂,2
2024-12-02T17:18:17Z,@arient.triadi,"okay BNI, you&#39;ve won my deposito",0
2024-12-02T12:46:35Z,@fakhrudinali2689,"andai kakekku masih ada, pasti kusuruh pake BNI juga 😁😁",0
2024-12-01T13:58:01Z,@yierlyamelia2475,lama lama di jadiin series,0
2024-12-01T10:57:00Z,@Kiriosazayaka,Reaksi gw:<br><br>✋😐🤚<br>Absolute<br> Cinema,0
2024-12-01T10:14:02Z,@baimtrbijX,We should get more of this!!,1
2024-11-30T19:32:57Z,@Juggernut2,Kapan episode 2 min,0
2024-11-30T15:03:33Z,@KaelithVex,Bagusan iklan daripada gembok biru s2 🗿,2
2024-11-30T12:54:29Z,@antokkrisnanto8485,NANI!?!???,0
2024-11-30T08:22:51Z,@efrivernando5780,"Bjirr udah sejuta views, diupload pas tanggal lahir gua 3 minggu kemudian 30 november udah 1,1jt",0
2024-11-30T07:57:32Z,@habakirrangers1677,bagus bgtt 😭😭😵🙏🙏,0
2024-11-30T06:50:11Z,@SPLPuroOne,WHO LET BNI COOK???,0
2024-11-30T06:48:42Z,@anggaandriana5210,LUCU BANGETTT,0
2024-11-30T03:23:54Z,@gunaf28,"im sold bro, give me all your service BNI, take my wallet with you",0
2024-11-29T18:51:06Z,@OShinn,"interesting aja di HP Opanya notif panggilnya Opa, di subtitle sebutnya Kakek :3",0
2024-11-29T12:44:14Z,@807800,Semuanya indo kecuali dubnya.... aneh... wkkwkwkw.,0
2024-11-29T07:56:48Z,@abilek_,🗿,0
2024-11-29T04:01:29Z,@notjustrafi404,"aku tau ini cuman iklan, tapi ini lebih lucu dari keseluruhan hidup ku",0
2024-11-28T17:56:18Z,@Ridwanpens,Kenapa pake dub bahasa jepang ?,2
2024-11-28T16:21:34Z,@TOMBlUS,PEAK iklan,0
2024-11-28T11:00:39Z,@RUBYWANGY-4no,Animator blue lock ketar ketir melihat iklan ini 😂,2
2024-11-28T03:25:19Z,@tarot_exe,sigma banget BNI,0
2024-11-28T02:32:26Z,@mozeeYT,Kita mendapatkan Anime BNI sebelum GTA 6 🔥🔥🗣🗣,2
2024-11-28T02:15:29Z,@c-15michaelhayatoabdillahh64,lucu bang,2
2024-11-28T02:09:34Z,@unknown-2471,Ini genre nya slice of life,2
2024-11-27T17:58:13Z,@quanlinglingdingle6122,"Company2 indo abuse AI, cari jalan instan, gratis dan ga bayar real artist : &quot;i sleep&quot;<br><br>BNI make real artist and good VA : &quot;REAL SH*T&quot;",2
2024-11-27T16:45:24Z,@kiarime,Yoooo,0
2024-11-27T09:53:39Z,@TunggulAmetung-v2u,Wohoo... tembus 1jt penonton 🎉🎉,0
2024-11-27T07:07:11Z,@ORANGGWS,Kita mendapatkan iklan anime bni sebelum GTA 6🗣🔥🔥,2
2024-11-26T20:19:43Z,@FU_KI_SHA,"Minttt buat ampe satu seson mint, 12 epsd lah minimal 😂.<br>BNI Slice of Life 😂🎉<br><br>Lewat fyp, Menyalaa algoritma YT kuuhh ✌🏻🤟🏻🔥🔥🔥",2
2024-11-26T17:43:32Z,@xiaoun,Mei is waifuuu wkwkwkw,0
2024-11-26T17:05:49Z,@RyanTriAnggoro,Speaking japanese while chatting in indonesian is wild,0
2024-11-26T17:00:31Z,@suryastar7,Yokatttaa 😂,0
